condition	symptom_id	onset	duration	duration_text	severity	progression	polarity
abdominal-aortic-aneurysm	641	unspecified	unspecified		unspecified	unspecified	present
abdominal-aortic-aneurysm	655	unspecified	unspecified		unspecified	unspecified	present
abdominal-aortic-aneurysm	728	unspecified	unspecified		unspecified	unspecified	present
acanthosis-nigricans	198	unspecified	unspecified		unspecified	unspecified	present
acanthosis-nigricans	462	unspecified	unspecified		unspecified	unspecified	present
acanthosis-nigricans	836	unspecified	unspecified		unspecified	unspecified	present
achalasia	133	unspecified	unspecified		unspecified	unspecified	present
achalasia	137	unspecified	unspecified		unspecified	unspecified	present
achalasia	173	unspecified	unspecified		unspecified	unspecified	present
achalasia	241	unspecified	unspecified		unspecified	unspecified	present
achalasia	264	unspecified	unspecified		unspecified	unspecified	present
achalasia	621	unspecified	unspecified		unspecified	unspecified	present
achalasia	773	unspecified	unspecified		unspecified	unspecified	present
achalasia	924	unspecified	unspecified		unspecified	unspecified	present
achalasia	1071	unspecified	unspecified		unspecified	unspecified	present
acne	16	unspecified	unspecified		unspecified	unspecified	present
acne	17	unspecified	unspecified		unspecified	unspecified	present
acoustic-neuroma	84	unspecified	unspecified		unspecified	unspecified	present
acoustic-neuroma	89	unspecified	unspecified		unspecified	unspecified	present
acoustic-neuroma	148	unspecified	unspecified		unspecified	unspecified	present
acoustic-neuroma	241	unspecified	unspecified		unspecified	unspecified	present
acoustic-neuroma	260	unspecified	unspecified		unspecified	unspecified	present
acoustic-neuroma	261	unspecified	unspecified		unspecified	unspecified	present
acoustic-neuroma	312	unspecified	unspecified		unspecified	unspecified	present
acoustic-neuroma	399	unspecified	unspecified		unspecified	unspecified	present
acoustic-neuroma	404	unspecified	unspecified		unspecified	unspecified	present
acoustic-neuroma	997	unspecified	unspecified		unspecified	unspecified	present
acromegaly	204	unspecified	unspecified		unspecified	unspecified	present
acromegaly	294	unspecified	unspecified		unspecified	unspecified	present
acromegaly	438	unspecified	unspecified		unspecified	unspecified	present
acromegaly	440	unspecified	unspecified		unspecified	unspecified	present
acromegaly	470	unspecified	unspecified		unspecified	unspecified	present
acromegaly	475	unspecified	unspecified		unspecified	unspecified	present
acromegaly	603	unspecified	unspecified		unspecified	unspecified	present
acromegaly	609	unspecified	unspecified		unspecified	unspecified	present
acromegaly	955	unspecified	unspecified		unspecified	unspecified	present
acromegaly	960	unspecified	unspecified		unspecified	unspecified	present
acromegaly	1068	unspecified	unspecified		unspecified	unspecified	present
actinic-keratoses	280	unspecified	unspecified		unspecified	unspecified	present
actinic-keratoses	462	unspecified	unspecified		unspecified	unspecified	present
actinic-keratoses	782	unspecified	unspecified		unspecified	unspecified	present
actinic-keratoses	792	unspecified	unspecified		unspecified	unspecified	present
actinic-keratoses	836	unspecified	unspecified		unspecified	unspecified	present
