condition	symptom_id
abdominal-aortic-aneurysm	0
abdominal-aortic-aneurysm	1
acanthosis-nigricans	2
acanthosis-nigricans	3
acanthosis-nigricans	4
achalasia	5
achalasia	6
achalasia	7
achalasia	8
achalasia	9
achalasia	10
achalasia	11
achalasia	12
achalasia	13
acne	14
acne	15
acoustic-neuroma	12
acoustic-neuroma	16
acoustic-neuroma	17
acoustic-neuroma	18
acoustic-neuroma	19
acoustic-neuroma	20
acoustic-neuroma	21
acoustic-neuroma	22
acromegaly	23
acromegaly	24
acromegaly	25
acromegaly	26
acromegaly	27
acromegaly	28
acromegaly	29
acromegaly	30
actinic-keratoses	3
actinic-keratoses	4
actinic-keratoses	31
actinic-keratoses	32
actinomycosis	33
actinomycosis	34
actinomycosis	35
actinomycosis	36
acute-cholecystitis	37
acute-cholecystitis	38
acute-cholecystitis	39
acute-cholecystitis	40
acute-cholecystitis	41
acute-cholecystitis	42
acute-cholecystitis	43
acute-cholecystitis	44
acute-cholecystitis	45
acute-cholecystitis	46
acute-kidney-injury	47
acute-kidney-injury	48
acute-kidney-injury	49
acute-kidney-injury	50
acute-kidney-injury	51
acute-kidney-injury	52
acute-myeloid-leukaemia	53
acute-myeloid-leukaemia	54
acute-myeloid-leukaemia	55
acute-myeloid-leukaemia	56
acute-myeloid-leukaemia	57
acute-pancreatitis	58
acute-pancreatitis	59
acute-pancreatitis	60
acute-pancreatitis	61
acute-pancreatitis	62
acute-pancreatitis	63
acute-respiratory-distress-syndrome	64
acute-respiratory-distress-syndrome	65
addisons-disease	54
addisons-disease	66
addisons-disease	67
addisons-disease	68
addisons-disease	69
addisons-disease	70
addisons-disease	71
addisons-disease	72
addisons-disease	73
age-related-macular-degeneration-amd	74
age-related-macular-degeneration-amd	75
age-related-macular-degeneration-amd	76
age-related-macular-degeneration-amd	77
albinism	78
albinism	79
albinism	80
albinism	81
albinism	82
albinism	83
alcohol-poisoning	39
alcohol-poisoning	84
alcohol-poisoning	85
alcohol-poisoning	86
alcohol-poisoning	87
alcohol-poisoning	88
alcohol-poisoning	89
alcohol-poisoning	90
alcohol-use-disorder	24
alcohol-use-disorder	49
alcohol-use-disorder	77
alcohol-use-disorder	89
alcohol-use-disorder	91
alcohol-use-disorder	92
alcohol-use-disorder	93
alcohol-use-disorder	94
alcohol-use-disorder	95
alcohol-use-disorder	96
alcohol-use-disorder	97
allergic-rhinitis	98
allergic-rhinitis	99
allergic-rhinitis	100
allergic-rhinitis	101
allergic-rhinitis	102
allergies	49
allergies	99
allergies	103
allergies	104
allergies	105
allergies	106
allergies	107
allergies	108
altitude-sickness	19
altitude-sickness	24
altitude-sickness	40
altitude-sickness	49
altitude-sickness	54
alzheimers-disease	77
alzheimers-disease	95
alzheimers-disease	109
alzheimers-disease	110
alzheimers-disease	111
alzheimers-disease	112
alzheimers-disease	113
alzheimers-disease	114
alzheimers-disease	115
amyloidosis	50
amyloidosis	54
amyloidosis	57
amyloidosis	64
amyloidosis	116
amyloidosis	117
amyloidosis	118
amyloidosis	119
amyloidosis	120
anal-fissure	121
anal-fissure	122
anal-fissure	123
anal-fistula	122
anal-fistula	124
anal-fistula	125
anal-fistula	126
anal-fistula	127
anal-fistula	128
anal-fistula	129
anaphylaxis	12
anaphylaxis	18
anaphylaxis	51
anaphylaxis	64
anaphylaxis	87
anaphylaxis	105
anaphylaxis	130
anaphylaxis	131
anaphylaxis	132
androgen-insensitivity-syndrome	133
androgen-insensitivity-syndrome	134
androgen-insensitivity-syndrome	135
androgen-insensitivity-syndrome	136
angina	137
angina	138
angioedema	106
angioedema	108
angioedema	139
angioedema	140
ankylosing-spondylitis	54
ankylosing-spondylitis	141
ankylosing-spondylitis	142
antiphospholipid-syndrome	26
antiphospholipid-syndrome	56
antiphospholipid-syndrome	143
antiphospholipid-syndrome	144
antiphospholipid-syndrome	145
antiphospholipid-syndrome	146
antiphospholipid-syndrome	147
antiphospholipid-syndrome	148
antiphospholipid-syndrome	149
antiphospholipid-syndrome	150
aphasia	151
aphasia	152
aphasia	153
aphasia	154
aphasia	155
aphasia	156
appendicitis	37
appendicitis	49
appendicitis	62
appendicitis	71
appendicitis	157
appendicitis	158
appendicitis	159
appendicitis	160
appendicitis	161
appendicitis	162
appendicitis	163
appendicitis	164
arrhythmia	7
arrhythmia	64
arrhythmia	165
arrhythmia	166
arrhythmia	167
arthritis	141
arthritis	164
arthritis	168
asbestosis	7
asbestosis	54
asbestosis	64
asbestosis	169
asbestosis	170
aspergillosis	37
aspergillosis	38
aspergillosis	57
aspergillosis	64
aspergillosis	171
asthma	7
asthma	64
asthma	172
astigmatism	78
astigmatism	173
astigmatism	174
ataxia	12
ataxia	84
ataxia	86
ataxia	120
ataxia	175
ataxia	176
ataxia	177
ataxia	178
ataxia	179
ataxia	180
ataxia	181
ataxia	182
ataxia	183
ataxia	184
ataxia	185
ataxia	186
athletes-foot	187
athletes-foot	188
athletes-foot	189
athletes-foot	190
atopic-eczema	37
atopic-eczema	145
atopic-eczema	191
atopic-eczema	192
atopic-eczema	193
atopic-eczema	194
atopic-eczema	195
atrial-fibrillation	7
atrial-fibrillation	18
atrial-fibrillation	54
atrial-fibrillation	165
atrial-fibrillation	196
atrial-fibrillation	197
atrial-fibrillation	198
auditory-processing-disorder	199
autism	200
autism	201
autism	202
autism	203
autism	204
autism	205
autism	206
autism	207
autism	208
autism	209
autism	210
autism	211
autism	212
autism	213
autism	214
autism	215
autism	216
autism	217
autism	218
autism	219
autism	220
autism	221
autism	222
autism	223
autism	224
autism	225
autism	226
autism	227
autism	228
autism	229
autism	230
autism	231
autism	232
autosomal-dominant-polycystic-kidney-disease-adpkd	37
autosomal-dominant-polycystic-kidney-disease-adpkd	38
autosomal-dominant-polycystic-kidney-disease-adpkd	39
autosomal-dominant-polycystic-kidney-disease-adpkd	40
autosomal-dominant-polycystic-kidney-disease-adpkd	64
autosomal-dominant-polycystic-kidney-disease-adpkd	71
autosomal-dominant-polycystic-kidney-disease-adpkd	72
autosomal-dominant-polycystic-kidney-disease-adpkd	133
autosomal-dominant-polycystic-kidney-disease-adpkd	233
autosomal-dominant-polycystic-kidney-disease-adpkd	234
autosomal-dominant-polycystic-kidney-disease-adpkd	235
autosomal-dominant-polycystic-kidney-disease-adpkd	236
autosomal-dominant-polycystic-kidney-disease-adpkd	237
autosomal-dominant-polycystic-kidney-disease-adpkd	238
autosomal-dominant-polycystic-kidney-disease-adpkd	239
autosomal-dominant-polycystic-kidney-disease-adpkd	240
autosomal-dominant-polycystic-kidney-disease-adpkd	241
autosomal-dominant-polycystic-kidney-disease-adpkd	242
autosomal-dominant-polycystic-kidney-disease-adpkd	243
autosomal-dominant-polycystic-kidney-disease-adpkd	244
autosomal-dominant-polycystic-kidney-disease-adpkd	245
autosomal-dominant-polycystic-kidney-disease-adpkd	246
autosomal-dominant-polycystic-kidney-disease-adpkd	247
autosomal-dominant-polycystic-kidney-disease-adpkd	248
autosomal-dominant-polycystic-kidney-disease-adpkd	249
autosomal-recessive-polycystic-kidney-disease-arpkd	38
autosomal-recessive-polycystic-kidney-disease-arpkd	40
autosomal-recessive-polycystic-kidney-disease-arpkd	48
autosomal-recessive-polycystic-kidney-disease-arpkd	64
autosomal-recessive-polycystic-kidney-disease-arpkd	243
autosomal-recessive-polycystic-kidney-disease-arpkd	247
autosomal-recessive-polycystic-kidney-disease-arpkd	248
autosomal-recessive-polycystic-kidney-disease-arpkd	250
autosomal-recessive-polycystic-kidney-disease-arpkd	251
autosomal-recessive-polycystic-kidney-disease-arpkd	252
autosomal-recessive-polycystic-kidney-disease-arpkd	253
bacterial-vaginosis	254
bacterial-vaginosis	255
bacterial-vaginosis	256
