slug	name	snomed	icd10	system	kind
abdominal-aortic-aneurysm	Abdominal aortic aneurysm	233985008	I71.4	cardiovascular	disorder
acanthosis-nigricans	Acanthosis nigricans	402599005		unclassified	disorder
achalasia	Achalasia	48531003	K22.0	unclassified	presentation
acid-and-chemical-burns	Acid and chemical burns	426284001	T30.4	traumatic-or-injury	disorder
acne	Acne	11381005	L70.9	skin	disorder
acoustic-neuroma	Acoustic neuroma (vestibular schwannoma)	126949007	D33.3	neoplasm	disorder
acromegaly	Acromegaly	74107003	E22.0	neurological	disorder
actinic-keratoses	Actinic keratoses (solar keratoses)	201101007	L57.0	neoplasm	disorder
actinomycosis	Actinomycosis	11817007	A42.9	infectious	disorder
acute-cholecystitis	Acute cholecystitis	65275009	K81.0	digestive	disorder
acute-kidney-injury	Acute kidney injury (AKI)	14669001	N17.9	genitourinary	disorder
acute-myeloid-leukaemia	Acute myeloid leukaemia	91861009	C92.0	neoplasm	disorder
acute-pancreatitis	Acute pancreatitis	197456007	K85.9	digestive	disorder
acute-respiratory-distress-syndrome	Acute respiratory distress syndrome (ARDS)	67782005		respiratory	disorder
addisons-disease	Addison's disease	363732003	E27.1	endocrine	disorder
age-related-macular-degeneration-amd	Age-related macular degeneration (AMD)	267718000	H35.3	eye	disorder
albinism	Albinism	15890002	E70.3	unclassified	disorder
alcohol-poisoning	Alcohol poisoning	82782008	T51.0	unclassified	disorder
alcohol-use-disorder	Alcohol-use disorder	1336085007	F10.9	mental-health	disorder
allergic-rhinitis	Allergic rhinitis	61582004	J30.4	respiratory	disorder
allergies	Allergies	609328004		unclassified	presentation
altitude-sickness	Altitude sickness	87284002	T70.2	unclassified	disorder
alzheimers-disease	Alzheimer's disease	26929004	G30.9	mental-health	disorder
amyloidosis	Amyloidosis	17602002	E85.9	unclassified	disorder
anal-fissure	Anal fissure	30037006	K60.2	digestive	disorder
anal-fistula	Anal fistula	786878009	K60.3	digestive	disorder
anaphylaxis	Anaphylaxis	39579001	T78.2	unclassified	disorder
androgen-insensitivity-syndrome	Androgen insensitivity syndrome	12313004	E34.5	genitourinary	disorder
angelman-syndrome	Angelman syndrome	76880004	Q93.5	neurological	disorder
angina	Angina	194828000	I20.9	cardiovascular	disorder
angioedema	Angioedema	41291007	T78.3	unclassified	disorder
ankylosing-spondylitis	Ankylosing spondylitis	9631008	M45.X9	musculoskeletal	disorder
antiphospholipid-syndrome	Antiphospholipid syndrome (APS)	26843008	D68.6	unclassified	disorder
aphasia	Aphasia	87486003	R47.0	unclassified	presentation
appendicitis	Appendicitis	74400008		digestive	disorder
arrhythmia	Arrhythmia, see Heart rhythm problems (arrhythmia)	698247007	I49.9	cardiovascular	disorder
arthritis	Arthritis	3723001	M13.99	musculoskeletal	disorder
asbestosis	Asbestosis	22607003		respiratory	disorder
aspergillosis	Aspergillosis	65553006	B44.9	infectious	disorder
asthma	Asthma	195967001	J45.9	respiratory	disorder
astigmatism	Astigmatism	82649003	H52.2	eye	disorder
ataxia	Ataxia	20262006	R27.0	unclassified	presentation
athletes-foot	Athlete's foot	6020002	B35.3	infectious	disorder
atopic-eczema	Atopic eczema	24079001	L20.9	skin	disorder
atrial-fibrillation	Atrial fibrillation	49436004	I48.9	cardiovascular	disorder
auditory-processing-disorder	Auditory processing disorder (APD)	229752008	H93.2	unclassified	disorder
autism	Autism	35919005	F84.9	mental-health	disorder
autosomal-dominant-polycystic-kidney-disease-adpkd	Autosomal dominant polycystic kidney disease	765330003	Q61.2	genitourinary	disorder
autosomal-recessive-polycystic-kidney-disease-arpkd	Autosomal recessive polycystic kidney disease	28770003	Q61.1	genitourinary	disorder
back-pain	Back pain	161891005	M54.99	unclassified	presentation
bacterial-vaginosis	Bacterial vaginosis	419760006	N76.0	infectious	disorder
balanitis	Balanitis	44882003	N48.1	genitourinary	disorder
bartholins-cyst	Bartholin's cyst	57044006	N75.0	genitourinary	disorder
bells-palsy	Bell's palsy	193093009	G51.0	neurological	disorder
bile-duct-cancer	Bile duct cancer (cholangiocarcinoma)	312104005	C24.9	neoplasm	disorder
birthmarks	Birthmarks	51089004	Q82.5	skin	disorder
black-eye	Black eye	7927006	S00.2	eye	disorder
bladder-cancer	Bladder cancer	399326009	C67.9	neoplasm	disorder
bladder-stones	Bladder stones	70650003	N21.0	genitourinary	disorder
blepharitis	Blepharitis	41446000	H01.0	eye	disorder
blisters	Blisters	417237009	T14.0	unclassified	disorder
boils	Boils	416675009	L02.9	infectious	disorder
bone-cancer	Bone cancer	428281000	C41.9	neoplasm	disorder
bone-cyst	Bone cyst	203465002	M85.69	musculoskeletal	disorder
botulism	Botulism	398565003	A05.1	infectious	disorder
bowel-incontinence	Bowel incontinence	72042002		unclassified	presentation
bowel-polyps	Bowel polyps	254588001	K63.8	digestive	disorder
