presentation	cause_name	snomed
anal-pain	Constipation	14760008
anal-pain	Piles (haemorrhoids)	70153002
anal-pain	Anal fissures	30037006
anal-pain	Anal fistulas and abscesses	786878009
bad-breath	eating	
bad-breath	drinking strong-smelling	
bad-breath	spicy foods and drinks	
bad-breath	problems with your teeth	
bad-breath	gums	
bad-breath	gum disease	18718003
bad-breath	holes in your teeth	
bad-breath	an infection	
bad-breath	fasting	16985007
bad-breath	crash dieting	
bad-breath	some medical conditions	
bad-breath	dry mouth	87715008
bad-breath	tonsillitis and acid reflux	698065002
bedwetting	making too much pee at night	
bedwetting	stress at home	105485001
bedwetting	at school	
bleeding-from-the-bottom-rectal-bleeding	take iron tablets	
bleeding-from-the-bottom-rectal-bleeding	liquorice and blueberries	
bleeding-from-the-bottom-rectal-bleeding	Piles (haemorrhoids)	70153002
bleeding-from-the-bottom-rectal-bleeding	genital warts	266113007
bleeding-from-the-bottom-rectal-bleeding	damage from anal sex	
bleeding-from-the-bottom-rectal-bleeding	warfarin and apixaban ( anticoagulants )	
bleeding-from-the-bottom-rectal-bleeding	Anal fistula	786878009
bleeding-from-the-bottom-rectal-bleeding	Tummy bug (gastroenteritis)	25374005
bleeding-from-the-bottom-rectal-bleeding	ulcerative colitis	64766004
bleeding-from-the-bottom-rectal-bleeding	Crohn's disease	34000006
bleeding-from-the-bottom-rectal-bleeding	Bleeding in the anus	
bleeding-from-the-bottom-rectal-bleeding	bowel	
bleeding-from-the-bottom-rectal-bleeding	lower gut from injury	
bleeding-from-the-bottom-rectal-bleeding	another problem	
bleeding-from-the-bottom-rectal-bleeding	Bowel polyps	254588001
bleeding-from-the-bottom-rectal-bleeding	early signs of bowel cancer	
bleeding-from-the-bottom-rectal-bleeding	Bleeding in the stomach	
bleeding-from-the-bottom-rectal-bleeding	gut – can be from injury	
bleeding-from-the-bottom-rectal-bleeding	aspirin	
bleeding-from-the-bottom-rectal-bleeding	Stomach ulcer	397825006
bloating	constipation	14760008
bloating	a food intolerance	
bloating	coeliac disease	396331005
bloating	irritable bowel syndrome (IBS)	10743008
blood-in-semen	an infection	
blood-in-semen	a urinary tract infection (UTI)	
blood-in-semen	sexually transmitted infection (STI)	
blood-in-semen	a recent procedure	
blood-in-semen	test	
blood-in-semen	transurethral resection of the prostate (TURP)	
blood-in-semen	a cystoscopy	
blood-in-semen	a vasectomy	
blood-in-semen	a problem with the prostate	
blood-in-semen	prostatitis	9713002
blood-in-semen	an enlarged prostate	
blood-in-urine	Urinary tract infection (UTI)	68566005
blood-in-urine	Kidney stones	95570007
blood-in-urine	Enlarged prostate	249607009
blue-skin-or-lips-cyanosis	lungs	
blue-skin-or-lips-cyanosis	asthma	195967001
blue-skin-or-lips-cyanosis	pneumonia	233604007
blue-skin-or-lips-cyanosis	airways	
blue-skin-or-lips-cyanosis	choking	249489001
blue-skin-or-lips-cyanosis	croup	71186008
blue-skin-or-lips-cyanosis	heart	
blue-skin-or-lips-cyanosis	heart failure	84114007
blue-skin-or-lips-cyanosis	congenital heart disease	13213009
blue-skin-or-lips-cyanosis	Raynaud's	
blue-skin-or-lips-cyanosis	which affects your fingers and toes	
blue-skin-or-lips-cyanosis	beta blockers	
blue-skin-or-lips-cyanosis	being in cold air	
blue-skin-or-lips-cyanosis	water	
blue-skin-or-lips-cyanosis	wearing clothing	
