symptom_id	canonical	n_conditions
0	tummy or back pain	1
1	pulsing feeling in tummy	1
2	darker and thicker skin patches	1
3	skin patches	5
4	itchy skin	6
5	regurgitation	1
6	choking and coughing fits	1
7	chest pain	25
8	recurrent chest infections	2
9	drooling	2
10	weight loss	16
11	difficulty swallowing food or drink	1
12	difficulty swallowing	25
13	swallowing problems	1
14	back acne	1
15	chest acne	1
16	hearing loss	11
17	tinnitus	10
18	dizziness	20
19	headache	19
20	blurred or double vision	1
21	facial drooping and body weakness	3
22	limb co-ordination problems	1
23	swollen fingers and toes	4
24	insomnia	11
25	numbness and weakness in hands	2
26	joint pain and swelling	13
27	oily skin	1
28	deeper voice	1
29	irregular periods	8
30	erection problems	1
31	dry rough scaly skin	1
32	skin lesion colour	2
33	lumps in cheek or neck	1
34	pus leaking from chest skin	1
35	abdominal symptoms	1
36	lower tummy pain and vaginal bleeding	1
37	high temperature	78
38	fatigue and nausea	23
39	vomiting	12
40	loss of appetite	40
41	jaundice	17
42	tummy bulge	1
43	sharp upper right abdominal pain	1
44	shoulder pain spreading	1
45	tummy tenderness	1
46	flu-like symptoms	25
47	peeing less than usual	2
48	increased thirst	8
49	nausea and vomiting	59
50	leg pain and swelling	11
51	altered mental state and fatigue	6
52	breathlessness	3
53	looking pale	1
54	fatigue	65
55	frequent infections	1
56	unusual bleeding or bruising	5
57	unexplained weight loss	14
58	severe sharp pain	1
59	tummy pain	3
60	radiating pain to sides and back	1
61	feeling better when leaning forward	1
62	abdominal pain	4
63	high temperature and vomiting	1
64	shortness of breath	47
65	short fast breaths	1
66	hyperpigmentation	1
67	appetite loss weight loss and tummy pain	1
68	light-headedness	2
69	joint and muscle pain	3
70	mild fever	1
71	increased thirst and urination	12
72	difficulty concentrating	10
73	stress and anxiety	3
74	distorted straight lines	1
75	sensitivity to light and sound	3
76	flashing lights in vision	1
77	hallucinations	7
78	blurred vision	19
79	sensitivity to light	4
80	nystagmus	1
81	squint	3
82	new mole, growth or lump	1
83	changing skin lesion	1
84	slurred speech	14
85	loss of coordination	1
86	urinary incontinence	6
87	cyanosis	7
88	slow breathing	2
89	seizure	20
90	loss of consciousness	7
91	panic attack symptoms	1
92	alcohol withdrawal symptoms	1
93	visible shaking	1
94	restlessness and irritability	1
95	confusion	10
96	alcohol withdrawal	1
97	prolonged symptoms	1
98	itchy nose	1
99	nasal congestion and sneezing	5
100	itchy red and watery eyes	2
101	cough	14
102	itchy roof of mouth	1
103	red or watering eyes	2
104	facial pain and tenderness	2
105	respiratory symptoms	6
106	hives	6
107	bloating	1
108	facial swelling	6
109	difficulty planning or making decisions	2
110	speech and language problems	3
111	mobility and self-care problems	1
112	behaviour changes	3
113	low mood and anxiety	8
114	memory loss	2
115	memory problems	3
116	bruising around eyes	1
117	heart rhythm changes and chest pain	1
118	digestive symptoms	1
119	frothy urine	2
120	peripheral neuropathy	6
121	painful bowel movement	2
122	blood in poo	6
123	rectal bleeding	4
124	anal lumps and skin irritation	2
125	throbbing pain	2
126	anal discharge	1
127	anal swelling	1
128	incontinence	5
129	skin hole near anus	1
130	swollen throat and tongue	1
131	skin cold to touch	2
132	skin rash	12
133	absent periods	2
134	absent pubic and underarm hair	1
135	enlarged clitoris	1
136	partially undescended testicle	1
137	chest tightness	2
138	malaise	1
139	stomach pain	1
140	breathing difficulty	1
141	back pain	11
142	joint and tendon pain	1
143	leg swelling and pain	2
144	arm or tummy pain and swelling	1
145	skin discoloration	9
146	swollen veins	2
147	coughing up blood	6
148	lace-like rash	1
149	recurrent miscarriage	1
150	blood clot	1
151	speech difficulty	1
152	speech difficulties	1
153	making up words or sounds	1
154	difficulty understanding speech	2
155	reading or writing difficulty	1
156	aphasia communication problems	1
157	bowel habit change	4
158	sudden confusion	1
159	middle abdominal pain	1
160	lower abdominal pain	20
161	pain worsened by movement	3
162	atypical pain	1
163	severe abdominal pain	1
164	movement difficulty	3
165	heart palpitations	14
166	fainting and lightheadedness	7
167	heart palpitation	1
168	joint stiffness and pain	7
169	persistent cough	12
170	clubbed fingers	2
171	productive cough	4
172	breathing problems	2
173	eye strain	1
174	lazy eye	2
175	walking difficulty	1
176	abnormal curvature of the spine	1
177	sight and hearing loss	3
178	red blood vessel clusters	1
179	slow eye movement	1
180	weakened immune system	1
181	muscle cramps and stiffness	5
182	memory loss and speech difficulties	1
183	balance problems	10
184	muscle spasms	2
185	involuntary eye movements	2
186	vertigo, migraines and tinnitus	1
