symptom_id	core_phrase	character	concept	site	n_conditions
0	abdominal discomfort		abdominal discomfort		1
1	abnormal angle in the leg		abnormal angle	leg	1
2	abnormal breastbone in the chest	abnormal	breastbone	chest	1
3	abnormal cry		abnormal cry		1
4	abnormal distribution in the fat	abnormal	distribution	fat	1
5	abnormal temperature		abnormal temperature		1
6	abnormality in the head		abnormality	head	1
7	abscess in the skin		abscess	skin	1
8	ache in the body		ache	body	7
9	ache in the leg		ache	leg	1
10	aches		aches		1
11	aching in the fingers		aching	fingers	1
12	aching in the knees		aching	knees	1
13	aching in the wrists		aching	wrists	1
14	aching pain		aching pain		1
15	acid reflux		acid reflux		3
16	acne in the chest		acne	chest	1
17	acne in the lower back		acne	lower back	1
18	action		action		1
19	adjustment		adjustment		1
20	aggression		aggression		1
21	agitation		agitation		1
22	agnosia		agnosia		1
23	alertness		alertness		1
24	amnesia		amnesia		1
25	anxiety		anxiety		9
26	apathy		apathy		1
27	apnoea		apnoea		1
28	appetite		appetite		1
29	appetite loss		appetite loss		41
30	arm pain in the arm		arm pain	arm	2
31	auditory hallucination in the ear		auditory hallucination	ear	1
32	aura in the head		aura	head	1
33	automatic behaviour		automatic behaviour		1
34	aversion		aversion		1
35	back pain		back pain		1
36	back pain in the back		back pain	back	1
37	bad breath	bad	breath		7
38	bad taste	bad	taste		7
39	balance problem		balance problem		1
40	balance problems		balance problems		1
41	barking cough in the throat	barking	cough	throat	1
42	bed wetting		bed wetting		2
43	bedwetting		bedwetting		1
44	behaviour		behaviour		1
45	behaviour change		behaviour change		2
46	behavioural challenges		behavioural challenges		1
47	behavioural changes		behavioural changes		6
48	bites		bites		1
49	black eye	black	eye		1
50	black poo	black	poo		1
51	black skin	black	skin		1
52	bleeding		bleeding		7
53	bleeding gums in the gums		bleeding gums	gums	1
54	bleeding in the cyst		bleeding	cyst	1
55	bleeding in the ears		bleeding	ears	1
56	bleeding in the gum		bleeding	gum	2
57	bleeding in the penile		bleeding	penile	2
58	bleeding in the rectal		bleeding	rectal	5
59	bleeding in the vagina		bleeding	vagina	3
60	bleeding in the vaginal		bleeding	vaginal	2
61	blind spot		blind spot		1
62	blinking		blinking		2
63	blister		blister		1
64	blister in the skin		blister	skin	3
65	blistering		blistering		1
66	blisters		blisters		4
67	blisters in the ears		blisters	ears	1
68	blisters in the hands		blisters	hands	1
69	blisters in the mouth		blisters	mouth	3
70	blisters in the skin		blisters	skin	5
71	bloating		bloating		8
72	bloating in the abdomen		bloating	abdomen	17
73	bloating in the stomach		bloating	stomach	1
74	blocked nose in the nose		blocked nose	nose	2
75	blood clot	blood	clot		1
76	blood in the poo		blood	poo	4
77	blood in the semen		blood	semen	1
78	blood in the stool		blood	stool	6
79	blood in the urine		blood	urine	12
80	blood in the vomit		blood	vomit	1
81	bloodshot eyes		bloodshot eyes		1
82	bloody diarrhoea	bloody	diarrhoea		2
83	blotchy rash	blotchy	rash		1
84	blurred vision		blurred vision		20
85	blurring in the vision		blurring	vision	5
86	body aches in the body		body aches	body	1
87	body pain		body pain		1
88	body pain in the body		body pain	body	1
89	body weakness		body weakness		3
90	bone pain		bone pain		8
91	bowed legs in the legs		bowed legs	legs	1
92	bowel movements		bowel movements		1
93	brain fog		brain fog		5
94	breast enlargement		breast enlargement		1
95	breath		breath		1
96	breathing		breathing		1
97	breathing changes		breathing changes		1
98	breathing difficulties		breathing difficulties		1
99	breathing problems		breathing problems		1
100	breathlessness		breathlessness		6
101	breathlessness in the chest		breathlessness	chest	1
102	brittle toenails		brittle toenails		1
103	broken sleep		broken sleep		1
104	brown discoloration in the skin	brown	discoloration	skin	1
105	brown skin	brown	skin		1
106	brown skin patches in the skin	brown	skin patches	skin	1
107	brown spots	brown	spots		1
108	bruising		bruising		9
109	bruising in the ears		bruising	ears	1
110	bruising in the eyes		bruising	eyes	1
111	bruising in the hip		bruising	hip	1
112	bruising in the leg		bruising	leg	1
113	bruising in the limb		bruising	limb	1
114	bulge in the tummy		bulge	tummy	1
115	bulging eye		bulging eye		1
116	bulging lump	bulging	lump		1
117	bulging spot in the head	bulging	spot	head	2
118	bumps		bumps		1
119	burning		burning		1
120	burning in the genital		burning	genital	1
121	burning in the skin		burning	skin	1
122	burning pain	burning	pain		2
123	burning sensation in the skin		burning sensation	skin	1
124	burning skin		burning skin		2
125	burp		burp		1
126	burping		burping		3
127	cardiac arrest		cardiac arrest		2
128	change in the bowel		change	bowel	6
129	change in the skin		change	skin	1
130	changes in the appetite		changes	appetite	2
131	changes in the finger		changes	finger	1
132	changes in the skin		changes	skin	1
133	chest infection in the chest		chest infection	chest	5
134	chest pain in the chest		chest pain	chest	7
135	chest tenderness in the chest		chest tenderness	chest	1
136	chesty cough		chesty cough		1
137	choking		choking		1
138	choking in the throat		choking	throat	1
139	clammy skin in the skin	clammy	skin	skin	1
140	claudication		claudication		1
141	cleft lip in the lip		cleft lip	lip	1
142	cleft palate in the palate		cleft palate	palate	1
143	clicking in the jaw		clicking	jaw	1
144	clicking in the joint		clicking	joint	1
145	clicking sound in the hip		clicking sound	hip	1
146	clubbing in the finger		clubbing	finger	3
147	clumsiness		clumsiness		2
148	co-ordination problem in the limb		co-ordination problem	limb	1
149	coating in the throat		coating	throat	1
150	coating in the tongue		coating	tongue	1
151	cognitive impairment		cognitive impairment		1
152	cold feet in the foot	cold	feet	foot	1
153	cold hands in the hand	cold	hands	hand	1
154	cold in the arm		cold	arm	1
155	cold in the body		cold	body	1
156	cold in the hand		cold	hand	1
157	cold skin	cold	skin		1
158	cold skin in the skin	cold	skin	skin	1
159	cold sore		cold sore		3
160	coloured mucus in the nose	coloured	mucus	nose	1
161	communication		communication		1
162	communication problems		communication problems		1
163	complaint		complaint		1
164	concentration difficulty		concentration difficulty		10
165	confusion		confusion		25
166	confusion in the head		confusion	head	1
167	congestion		congestion		1
168	constipation		constipation		11
169	control difficulty in the limb		control difficulty	limb	1
170	coping		coping		1
171	cough		cough		31
172	cough in the throat		cough	throat	1
173	coughing		coughing		7
174	coughing blood		coughing blood		1
175	coughing in the throat		coughing	throat	1
176	cracked skin		cracked skin		2
177	crackling sound in the nose		crackling sound	nose	1
178	cradle patch in the head	cradle	patch	head	1
179	cramps in the muscle		cramps	muscle	8
180	cramps in the stomach		cramps	stomach	2
181	creases		creases		1
182	crowded teeth in the mouth	crowded	teeth	mouth	1
183	crusting in the face		crusting	face	1
184	crusting in the hairline		crusting	hairline	1
185	crusts in the eyelashes		crusts	eyelashes	1
186	crusty scales in the eyebrows	crusty	scales	eyebrows	1
187	crusty skin sores	crusty	skin sores		2
188	crying		crying		2
189	cuddling		cuddling		1
190	curvature in the spine		curvature	spine	1
191	curved spine in the spine		curved spine	spine	2
192	cyanosis		cyanosis		7
193	cyst		cyst		1
194	dandruff flakes in the scalp		dandruff flakes	scalp	1
195	dark patch in the eye	dark	patch	eye	1
196	dark pee		dark pee		4
197	dark skin marks in the skin	dark	skin marks	skin	1
198	dark skin patches	dark	skin patches		1
199	dark spots	dark	spots		1
200	dark spots in the fingernails		dark spots	fingernails	1
201	dark urine	dark	urine		2
202	daytime tiredness		daytime tiredness		2
203	deep eyes in the eye	deep	eyes	eye	1
204	deeper voice		deeper voice		1
205	deformity in the bone		deformity	bone	1
206	delay		delay		1
207	delayed development		delayed development		3
208	delayed puberty		delayed puberty		1
209	delirium		delirium		1
210	depression		depression		2
211	diarrhoea		diarrhoea		7
212	diarrhoea in the bowel		diarrhoea	bowel	3
213	difficulties in the speech		difficulties	speech	2
214	difficulty		difficulty		4
215	difficulty breathing		difficulty breathing		13
216	difficulty climbing in the stairs		difficulty climbing	stairs	2
217	difficulty feeding		difficulty feeding		2
218	difficulty in the body		difficulty	body	1
219	difficulty in the breathing		difficulty	breathing	1
220	difficulty in the chest		difficulty	chest	1
221	difficulty in the exercising		difficulty	exercising	1
222	difficulty in the eyes		difficulty	eyes	1
223	difficulty in the head		difficulty	head	6
